월,일,요일,공부량,독서,토탈 집중,수면,시간,수면효율,평가,후기,목표
2월,13일,토,2시간 54분,,2시간 54분,9시간 9분,22:59~08:08,84%,,,
2월,14일,일,1시간 29분,,1시간 29분,7시간 53분,23:26~07:19,85%,,,
2월,15일,월,2시간 43분,45분,3시간 29분,9시간 19분,22:33~07:52,82%,,,
2월,16일,화,2시간 2분,1시간 2분,3시간 4분,8시간 55분,23:01~07:56,84%,,,
2월,17일,수,2시간 50분,1시간 1분,3시간 52분,8시간 46분,22:47~07:33,89%,,,
2월,18일,목,4시간 52분,1시간 32분,6시간 25분,6시간 5분,22:36~04:41,85%,,,
2월,19일,금,3시간 31분,1시간 3분,4시간 35분,7시간 41분,23:03~06:44,77%,,,
2월,20일,토,6시간 15분,47분,7시간 2분,7시간 27분,22:33~06:00,87%,,,
2월,21일,일,,,,8시간 20분,22:56~07:16,77%,,,
2월,22일,월,,1시간 33분,1시간 33분,9시간 29분,22:25~07:54,78%,,,
2월,23일,화,3시간 25분,1시간 37분,5시간 3분,5시간 10분,23:01~04:11,86%,,,
2월,24일,수,3시간 51분,1시간 45분,5시간 37분,5시간 11분,23:18~04:29,82%,,,
2월,25일,목,6시간 53분,2시간 4분,8시간 58분,5시간 59분,23:10~05:09,86%,,,
2월,26일,금,2시간 32분,1시간 58분,4시간 30분,8시간 5분,22:46~06:51,90%,,,
2월,27일,토,,,,6시간 15분,23:54~06:09,83%,,,
2월,28일,일,1시간 0분,55분,1시간 55분,9시간 50분,23:22~09:12,76%,,,
3월,1일,월,3시간 43분,2시간 27분,6시간 10분,8시간 5분,23:26~07:31,86%,,,
3월,2일,화,3시간 58분,2시간 18분,6시간 17분,7시간 42분,23:10~05:34,84%,,,
3월,3일,수,5시간 14분,3시간 40분,8시간 54분,5시간 43분,23:59~05:42,87%,,,
3월,4일,목,2시간 5분,45분,2시간 50분,7시간 8분,23:12~06:20,87%,,,
3월,5일,금,0,2시간 45분,2시간 45분,6시간 55분,00:22~07:17,89%,,,
3월,6일,토,,31분,31분,8시간 45분,23:16~08:01,83%,,,
3월,7일,일,,,,7시간 15분,02:14~09:29,77%,,,
3월,8일,월,3시간 6분,1시간 39분,4시간 45분,7시간 40분,23:54~07:34,90%,,,
3월,9일,화,3시간 44분,1시간 45분,5시간 29분,7시간 54분,23:36~07:30,86%,,,
3월,10일,수,2시간 46분,1시간 58분,4시간 44분,8시간 34분,23:29~08:03,85%,,,
3월,11일,목,3시간 22분,30분,3시간 52분,8시간 33분,23:18~07:51,87%,,,
3월,12일,금,5시간 15분,1시간 4분,6시간 20분,8시간 35분,22:35~07:10,87%,,,
3월,13일,토,,1시간 8분,1시간 8분,8시간 35분,00:15~08:50,85%,,,
3월,14일,일,1시간 25분,44분,2시간 9분,6시간 50분,,,,,
3월,15일,월,4시간 16분,59분,5시간 15분,7시간 9분,00:42~07:51,86%,,,
3월,16일,화,5시간 1분,1시간 16분,6시간 17분,8시간 24분,23:31~07:55,85%,,,
3월,17일,수,4시간 24분,1시간 17분,5시간 42분,6시간 41분,01:24~08:05,87%,,,
3월,18일,목,1시간 53분,40분,2시간 33분,8시간 38분,23:44~08:22,86%,,,
3월,19일,금,4시간 25분,1시간 7분,5시간 32분,7시간 40분,01:25~09:05,87%,,,
3월,20일,토,1시간 54분,24분,2시간 19분,9시간 2분,23:10~08:12,83%,,,
3월,21일,일,,1시간 30분,1시간 30분,7시간 18분,02:16~09:34,79%,,,
3월,22일,월,3시간 16분,1시간 3분,4시간 19분,8시간 37분,23:46~08:23,89%,,,
